"Nom_com";"id_insee";"annee";"PO_0_foyer_rat";"LP_0_foyer_rat";"LH_0_foyer_rat";"LC_0_foyer_rat";"autres_0_foyer_rat";"Total_menages_0_foyer_rat";"PO_1_foyer_rat";"LP_1_foyer_rat";"LH_1_foyer_rat";"LC_1_foyer_rat";"autres_1_foyer_rat";"Total_menages_1_foyer_rat";"PO_2_foyers_rat";"LP_2_foyers_rat";"LH_2_foyers_rat";"LC_2_foyers_rat";"autres_2_foyers_rat";"Total_menages_2_foyers_rat";"PO_3et+_foyers_rat";"LP_3et+_foyers_rat";"LH_3et+_foyers_rat";"LC_3et+_foyers_rat";"autres_3et+_foyers_rat";"Total_menages_3et+_foyers_rat";"PO_1er_rat_celibataire";"LP_1er_rat_celibataire";"LH_1er_rat_celibataire";"LC_1er_rat_celibataire";"autres_1er_rat_celibataire";"Total_menages_1er_rat_celibataire";"PO_1er_rat_divorce";"LP_1er_rat_divorce";"LH_1er_rat_divorce";"LC_1er_rat_divorce";"autres_1er_rat_divorce";"Total_menages_1er_rat_divorce";"PO_1er_rat_marie_pacse";"LP_1er_rat_marie_pacse";"LH_1er_rat_marie_pacse";"LC_1er_rat_marie_pacse";"autres_1er_rat_marie_pacse";"Total_menages_1er_rat_marie_pacse";"PO_1er_rat_veuf";"LP_1er_rat_veuf";"LH_1er_rat_veuf";"LC_1er_rat_veuf";"autres_1er_rat_veuf";"Total_menages_1er_rat_veuf";"PO_1er_rat_<25ans";"LP_1er_rat_<25ans";"LH_1er_rat_<25ans";"LC_1er_rat_<25ans";"autres_1er_rat_<25ans";"Total_menages_1er_rat_<25ans";"PO_1er_rat_25-59ans";"LP_1er_rat_25-59ans";"LH_1er_rat_25-59ans";"LC_1er_rat_25-59ans";"autres_1er_rat_25-59ans";"Total_menages_1er_rat_25-59ans";"PO_1er_rat_>59ans";"LP_1er_rat_>59ans";"LH_1er_rat_>59ans";"LC_1er_rat_>59ans";"autres_1er_rat_>59ans";"Total_menages_1er_rat_>59ans";"PO_suroccupation_lourde";"LP_suroccupation_lourde";"LH_suroccupation_lourde";"LC_suroccupation_lourde";"autres_suroccupation_lourde";"Total_menages_suroccupation_lourde";"PO_suroccupation";"LP_suroccupation";"LH_suroccupation";"LC_suroccupation";"autres_suroccupation";"Total_menages_suroccupation";"PO_rev_brut_ecart_type";"LP_rev_brut_ecart_type";"LH_rev_brut_ecart_type";"LC_rev_brut_ecart_type";"autres_rev_brut_ecart_type";"Total_menages_rev_brut_ecart_type";"PO_rev_brut_moyenne";"LP_rev_brut_moyenne";"LH_rev_brut_moyenne";"LC_rev_brut_moyenne";"autres_rev_brut_moyenne";"Total_menages_rev_brut_moyenne";"PO_rev_brut_mediane";"LP_rev_brut_mediane";"LH_rev_brut_mediane";"LC_rev_brut_mediane";"autres_rev_brut_mediane";"Total_menages_rev_brut_mediane";"PO_rev_brut_ucm_ecart_type";"LP_rev_brut_ucm_ecart_type";"LH_rev_brut_ucm_ecart_type";"LC_rev_brut_ucm_ecart_type";"autres_rev_brut_ucm_ecart_type";"Total_menages_rev_brut_ucm_ecart_type";"PO_rev_brut_ucm_moyenne";"LP_rev_brut_ucm_moyenne";"LH_rev_brut_ucm_moyenne";"LC_rev_brut_ucm_moyenne";"autres_rev_brut_ucm_moyenne";"Total_menages_rev_brut_ucm_moyenne";"PO_rev_brut_ucm_mediane";"LP_rev_brut_ucm_mediane";"LH_rev_brut_ucm_mediane";"LC_rev_brut_ucm_mediane";"autres_rev_brut_ucm_mediane";"Total_menages_rev_brut_ucm_mediane";"PO_non_imposable";"LP_non_imposable";"LH_non_imposable";"LC_non_imposable";"autres_non_imposable";"Total_menages_non_imposable";"PO_imposable";"LP_imposable";"LH_imposable";"LC_imposable";"autres_imposable";"Total_menages_imposable";"PO_pas_degrevement";"LP_pas_degrevement";"LH_pas_degrevement";"LC_pas_degrevement";"autres_pas_degrevement";"Total_menages_pas_degrevement";"PO_avec_degrevement";"LP_avec_degrevement";"LH_avec_degrevement";"LC_avec_degrevement";"autres_avec_degrevement";"Total_menages_avec_degrevement";"PO_plafond_HLM_<=30%";"LP_plafond_HLM_<=30%";"LH_plafond_HLM_<=30%";"LC_plafond_HLM_<=30%";"autres_plafond_HLM_<=30%";"Total_menages_plafond_HLM_<=30%";"PO_plafond_HLM_<30-60%";"LP_plafond_HLM_<30-60%";"LH_plafond_HLM_<30-60%";"LC_plafond_HLM_<30-60%";"autres_plafond_HLM_<30-60%";"Total_menages_plafond_HLM_<30-60%";"PO_plafond_HLM_<60-100%";"LP_plafond_HLM_<60-100%";"LH_plafond_HLM_<60-100%";"LC_plafond_HLM_<60-100%";"autres_plafond_HLM_<60-100%";"Total_menages_plafond_HLM_<60-100%";"PO_plafond_HLM_<100-130%";"LP_plafond_HLM_<100-130%";"LH_plafond_HLM_<100-130%";"LC_plafond_HLM_<100-130%";"autres_plafond_HLM_<100-130%";"Total_menages_plafond_HLM_<100-130%";"PO_plafond_HLM_<130-150%";"LP_plafond_HLM_<130-150%";"LH_plafond_HLM_<130-150%";"LC_plafond_HLM_<130-150%";"autres_plafond_HLM_<130-150%";"Total_menages_plafond_HLM_<130-150%";"PO_plafond_HLM_>150%";"LP_plafond_HLM_>150%";"LH_plafond_HLM_>150%";"LC_plafond_HLM_>150%";"autres_plafond_HLM_>150%";"Total_menages_plafond_HLM_>150%";"PO_plafond_HLM_somme";"LP_plafond_HLM_somme";"LH_plafond_HLM_somme";"LC_plafond_HLM_somme";"autres_plafond_HLM_somme";"Total_menages_plafond_HLM_somme";"PO_plafond_HLM_ecart_type";"LP_plafond_HLM_ecart_type";"LH_plafond_HLM_ecart_type";"LC_plafond_HLM_ecart_type";"autres_plafond_HLM_ecart_type";"Total_menages_plafond_HLM_ecart_type";"PO_plafond_HLM_moyenne";"LP_plafond_HLM_moyenne";"LH_plafond_HLM_moyenne";"LC_plafond_HLM_moyenne";"autres_plafond_HLM_moyenne";"Total_menages_plafond_HLM_moyenne";"PO_plafond_HLM_mediane";"LP_plafond_HLM_mediane";"LH_plafond_HLM_mediane";"LC_plafond_HLM_mediane";"autres_plafond_HLM_mediane";"Total_mÃ©nages_plafond_HLM_mediane";"PO_<1_seuil_pauvrete";"LP_<1_seuil_pauvrete";"LH_<1_seuil_pauvrete";"LC_<1_seuil_pauvrete";"autres_<1_seuil_pauvrete";"Total_mÃ©nages_<1_seuil_pauvrete";"PO_1-<2_seuil_pauvrete";"LP_1-<2_seuil_pauvrete";"LH_1-<2_seuil_pauvrete";"LC_1-<2_seuil_pauvrete";"autres_1-<2_seuil_pauvrete";"Total_mÃ©nages_1-<2_seuil_pauvrete";"PO_2-<3_seuil_pauvrete";"LP_2-<3_seuil_pauvrete";"LH_2-<3_seuil_pauvrete";"LC_2-<3_seuil_pauvrete";"autres_2-<3_seuil_pauvrete";"Total_menages_2-<3_seuil_pauvrete";"PO_>=3_seuil_pauvrete";"LP_>=3_seuil_pauvrete";"LH_>=3_seuil_pauvrete";"LC_>=3_seuil_pauvrete";"autres_>=3_seuil_pauvrete";"Total_menages_>=3_seuil_pauvrete"
"Erbajolo";"2B105";2019;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"22393";"s";".";"s";"s";22042;"32957";"s";".";"s";"s";31417;"28272";"s";".";"s";"s";28272;"12595";"s";".";"s";"s";12757;"23081";"s";".";"s";"s";21984;"21340";"s";".";"s";"s";20699;"s";"s";"0";"s";"s";"s";"0";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"3454";"s";".";"s";"s";4618;"62";"s";".";"s";"s";64;"99";"s";".";"s";"s";94;"90";"s";".";"s";"s";87;"s";"s";"0";"s";"s";"12";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"0";"11";"s";"s";"0";"0";"s";"11"
"Érone";"2B106";2019;"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"s";".";".";".";".";NA;"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0"
"Ersa";"2B107";2019;"51";"s";"0";"s";"s";"70";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"26352";"s";".";"s";"s";23896;"31975";"s";".";"s";"s";28465;"21794";"s";".";"s";"s";19464;"14132";"s";".";"s";"s";13025;"22684";"s";".";"s";"s";20715;"18846";"s";".";"s";"s";18098;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"s";"22";"s";"s";"0";"s";"s";"28";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"5065";"s";".";"s";"s";6247;"63";"s";".";"s";"s";58;"90";"s";".";"s";"s";82;"72";"s";".";"s";"s";71;"s";"s";"0";"s";"0";"17";"27";"s";"0";"s";"s";"41";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s"
"Farinole";"2B109";2019;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"32260";"19961";".";".";"48666";32730;"41470";"25971";".";".";"33396";38884;"34963";"17729";".";".";"15609";32950;"18814";"8625";".";".";"19744";18040;"27420";"20165";".";".";"20910";25990;"23309";"17355";".";".";"14901";21391;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"20";"s";"s";"0";"0";"s";"29";"s";"0";"0";"0";"s";"26";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"10589";"885";".";".";"611";12085;"88";"11";".";".";"41";82;"119";"63";".";".";"68";108;"113";"59";".";".";"53";91;"s";"0";"0";"0";"s";"14";"24";"s";"0";"0";"s";"43";"s";"0";"0";"0";"s";"34";"s";"0";"0";"0";"0";"s"
"Favalello";"2B110";2019;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";26201;"s";"s";".";".";"s";39481;"s";"s";".";".";"s";33462;"s";"s";".";".";"s";11346;"s";"s";".";".";"s";21301;"s";"s";".";".";"s";19187;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";".";".";"s";2619;"s";"s";".";".";"s";64;"s";"s";".";".";"s";94;"s";"s";".";".";"s";93;"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s"
"Felce";"2B111";2019;"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";".";"s";"s";24159;"s";"s";".";"s";"s";36263;"s";"s";".";"s";"s";28615;"s";"s";".";"s";"s";14213;"s";"s";".";"s";"s";29775;"s";"s";".";"s";"s";26260;"s";"s";"0";"s";"s";"s";"0";"0";"0";"s";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";2084;"s";"s";".";"s";"s";64;"s";"s";".";"s";"s";110;"s";"s";".";"s";"s";91;"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s"
"Feliceto";"2B112";2019;"53";"s";"0";"s";"s";"78";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"46592";"17257";".";"s";"s";40356;"37918";"25145";".";"s";"s";34073;"23188";"24120";".";"s";"s";23289;"20994";"9861";".";"s";"s";18766;"24702";"15025";".";"s";"s";21996;"19349";"12699";".";"s";"s";19135;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";"21";"s";"s";"0";"s";"s";"27";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"0";"14";"7059";"1269";".";"s";"s";9185;"126";"45";".";"s";"s";109;"110";"67";".";"s";"s";99;"86";"55";".";"s";"s";83;"s";"s";"0";"0";"s";"27";"s";"s";"0";"s";"s";"36";"s";"s";"0";"0";"s";"15";"s";"s";"0";"s";"0";"15"
"Ficaja";"2B113";2019;"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";15754;"s";"s";".";"s";"s";18467;"s";"s";".";"s";"s";17006;"s";"s";".";"s";"s";10781;"s";"s";".";"s";"s";15240;"s";"s";".";"s";"s";15141;"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";911;"s";"s";".";"s";"s";56;"s";"s";".";"s";"s";65;"s";"s";".";"s";"s";66;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s"
"Focicchia";"2B116";2019;"s";"0";"0";"s";"0";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";"0";"0";"s";"0";"s";"0";"0";"0";"s";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";".";".";"s";".";NA;"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0"
"Furiani";"2B120";2019;"1071";"446";"s";"s";"s";"1650";"293";"s";"s";"0";"s";"373";"s";"s";"s";"0";"s";"62";"s";"0";"s";"0";"0";"11";"262";"40";"s";"0";"s";"334";"s";"s";"s";"0";"s";"53";"s";"s";"0";"0";"s";"36";"s";"0";"s";"0";"s";"23";"s";"s";"s";"0";"0";"48";"262";"35";"s";"0";"s";"324";"s";"s";"s";"0";"s";"74";"s";"s";"0";"0";"0";"12";"s";"18";"s";"0";"s";"33";"37103";"23012";"18382";"s";"s";34910;"49179";"27453";"24414";"s";"s";42485;"40832";"21652";"20335";"s";"s";34527;"19717";"15735";"9537";"s";"s";19077;"28611";"18630";"14631";"s";"s";25422;"25172";"17302";"14022";"s";"s";22291;"1279";"s";"s";"s";"s";"1873";"130";"s";"s";"0";"s";"161";".";".";".";".";".";".";".";".";".";".";".";".";"64";"80";"s";"s";"s";"179";"136";"84";"s";"0";"s";"261";"335";"157";"s";"s";"s";"541";"262";"59";"s";"0";"s";"343";"154";"s";"s";"0";"s";"193";"459";"s";"s";"0";"s";"520";"194517";"38497";"8080";"s";"s";246324;"106";"72";"47";"s";"s";100;"138";"85";"67";"s";"s";121;"120";"73";"57";"s";"s";102;"125";"121";"s";"s";"s";"300";"405";"177";"s";"s";"s";"649";"436";"s";"s";"0";"s";"583";"444";"s";"s";"0";"s";"505"
"Galéria";"2B121";2019;"87";"s";"0";"0";"s";"131";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"15";"28258";"13080";".";".";"12894";26238;"41304";"18934";".";".";"23149";35216;"36596";"15473";".";".";"20071";28287;"13429";"7556";".";".";"10568";13062;"25682";"13477";".";".";"19030";22941;"23747";"13997";".";".";"15919";20395;"s";"s";"0";"0";"s";"140";"s";"s";"0";"0";"0";"17";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"s";"14";"s";"0";"0";"s";"31";"31";"s";"0";"0";"s";"49";"s";"0";"0";"0";"s";"21";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"27";"11637";"1029";".";".";"2064";14730;"65";"31";".";".";"44";61;"107";"51";".";".";"74";94;"98";"52";".";".";"63";83;"19";"s";"0";"0";"s";"35";"35";"s";"0";"0";"s";"60";"s";"s";"0";"0";"s";"33";"s";"0";"0";"0";"s";"29"
"Gavignano";"2B122";2019;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"13901";"s";".";"s";"s";14928;"25599";"s";".";"s";"s";23091;"25046";"s";".";"s";"s";20880;"12019";"s";".";"s";"s";11792;"21988";"s";".";"s";"s";18774;"18363";"s";".";"s";"s";18062;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"15";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"1907";"s";".";"s";"s";2343;"42";"s";".";"s";"s";44;"83";"s";".";"s";"s";69;"74";"s";".";"s";"s";74;"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"17";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s"
"Ghisonaccia";"2B123";2019;"603";"476";"s";"s";"s";"1218";"158";"49";"s";"0";"s";"223";"s";"s";"0";"s";"s";"38";"s";"s";"s";"0";"0";"12";"133";"47";"s";"s";"s";"194";"s";"s";"s";"0";"s";"35";"s";"s";"0";"0";"0";"30";"s";"s";"s";"0";"s";"14";"s";"s";"s";"0";"0";"13";"141";"47";"s";"s";"s";"204";"s";"s";"s";"0";"s";"56";"s";"s";"s";"0";"0";"18";"s";"32";"s";"s";"s";"54";"234626";"194308";"14561";"36495";"25818";208194;"70009";"44462";"17539";"26171";"31847";56297;"35168";"18857";"14228";"10245";"24308";26608;"164987";"130895";"8050";"14963";"15269";144387;"44278";"30185";"11407";"15190";"22058";36434;"23185";"13112";"10212";"10245";"20324";18605;"686";"481";"s";"s";"s";"1313";"100";"26";"s";"0";"s";"138";".";".";".";".";".";".";".";".";".";".";".";".";"56";"128";"s";"s";"s";"232";"91";"140";"s";"s";"s";"264";"241";"144";"s";"s";"18";"422";"117";"44";"s";"s";"s";"175";"60";"s";"s";"0";"s";"89";"225";"s";"0";"s";"s";"275";"158915";"75054";"2953";"1045";"7740";245706;"750";"707";"39";"83";"88";694;"201";"147";"48";"70";"96";169;"101";"57";"43";"45";"81";83;"95";"213";"35";"s";"s";"373";"277";"187";"s";"s";"22";"509";"196";"72";"s";"s";"s";"297";"222";"38";"0";"s";"s";"278"
"Ghisoni";"2B124";2019;"s";"s";"0";"s";"s";"97";"s";"s";"0";"s";"s";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"13";"22642";"14743";".";"s";"s";21721;"26619";"17967";".";"s";"s";25129;"22967";"17061";".";"s";"s";22851;"12856";"11227";".";"s";"s";14883;"19563";"14144";".";"s";"s";19037;"17995";"14494";".";"s";"s";17079;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"s";"22";"s";"s";"0";"0";"s";"25";"17";"s";"0";"s";"s";"29";"s";"0";"0";"s";"s";"19";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"6492";"1107";".";"s";"s";9363;"65";"56";".";"s";"s";72;"87";"62";".";"s";"s";84;"72";"46";".";"s";"s";71;"21";"s";"0";"s";"s";"34";"22";"s";"0";"s";"s";"34";"s";"s";"0";"s";"s";"30";"s";"s";"0";"0";"s";"14"
"Giocatojo";"2B125";2019;"s";"s";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"50218";"s";".";"s";"s";42316;"32992";"s";".";"s";"s";26496;"12738";"s";".";"s";"s";10650;"33086";"s";".";"s";"s";28266;"24937";"s";".";"s";"s";20116;"11069";"s";".";"s";"s";9087;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";".";".";".";".";".";".";".";".";".";".";".";".";"s";"s";"0";"s";"s";"17";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"2089";"s";".";"s";"s";2493;"180";"s";".";"s";"s";151;"104";"s";".";"s";"s";83;"27";"s";".";"s";"s";27;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s"
